aalug-alog,9,10
aam,3,3
aanga-anga,9,10
aapa-apa,7,8
aba,3,3
abahin,6,6
abain,5,5
abaka,5,5
abakada,7,7
abakadahin,10,10
abako,5,5
abala,5,5
abalahin,8,8
abalang-abala,12,13
abaloryo,8,8
abanderado,10,10
abandonada,10,10
abandonado-do,12,13
abang,5,5
abang-aba,8,9
abangan,7,7
abaniko,7,7
abanikuhan,10,10
abanikuhin,10,10
abano,5,5
abante,6,6
abasto,6,6
abat,4,4
abatan,6,6
abay,4,4
abayan,6,6
abdikasyon,10,10
abelyana,8,8
abenida,7,7
abentura,8,8
abenturera,10,10
abenturero,10,10
aberia,6,6
aberya,6,6
abestrus,8,8
abilidad,8,8
abiso,5,5
abisuhan,8,8
abito,5,5
abitsuwelas,11,11
abitswelas,10,10
abla,4,4
abnormal,8,8
abo,3,3
abog,4,4
abogado,7,7
abogasia,8,8
abogasya,8,8
abok,4,4
abokado,7,7
abonado,7,7
abono,5,5
abonohan,8,8
aborsiyon,9,9
abot,4,4
abot-dinig,9,10
abot-isip,8,9
abot-tanaw,9,10
abot-tingin,10,11
aboy,4,4
abrasador,9,9
abrasadurin,11,11
abrasete,8,8
abrasibo,8,8
abrigo,6,6
abriguhan,9,9
Abril,5,5
abrilata,8,8
abrisete,8,8
absen,5,5
absent,6,6
abses,5,5
abseso,6,6
absisa,6,6
abstinensiya,12,12
abstinensya,11,11
absulbihan,10,10
absulusyon,10,10
absulutismo,11,11
absulutista,11,11
absuluto,8,8
absuwelto,9,9
absuweltuhin,12,12
abswelto,8,8
abubot,6,6
abugado,7,7
abuhan,6,6
abuhin,6,6
abukado,7,7
abukay,6,6
abuloy,6,6
abuluyan,8,8
abunado,7,7
aburido,7,7
aburiduhin,10,10
abusada,7,7
abusado,7,7
abusera,7,7
abusero,7,7
abuso,5,5
abusuhin,8,8
abut-abot,8,9
abutan,6,6
abutin,6,6
abuwela,7,7
abuwelo,7,7
abuy-aboy,8,9
abyad,5,5
abyador,7,7
abyarin,7,7
abyasyon,8,8
abyog,5,5
ada,3,3
Adarna,6,6
Adat,4,4
adberb,6,6
adberbyo,8,8
Adbiyento,9,9
adelantada,10,10
adelantado,10,10
adelanto,8,8
adelpa,6,6
adhika,6,6
adhikain,8,8
adik,4,4
adikto,6,6
adisyunal,9,9
Adiyos,6,6
adlaw,5,5
administrador,13,13
administrasyon,14,14
admiral,7,7
adobe,5,5
adobo,5,5
adolesens,9,9
adolesent,9,9
adopsyon,8,8
adorador,8,8
adorasyon,9,9
adorno,6,6
adornohan,9,9
adres,5,5
adresan,7,7
adult,5,5
adulterado,10,10
adulterasyon,12,12
adulto,6,6
adwana,6,6
adya,4,4
adyenda,7,7
adyo,4,4
Adyos,5,5
adyusan,7,7
aeroplano,9,9
aerostatiko,11,11
ag-ag,4,5
ag-agan,6,7
aga,3,3
agaas,5,5
agad,4,4
agad-agad,8,9
agahan,6,6
agam-agam,8,9
agam-agamin,10,11
agamagam,8,8
agamahan,8,8
agap,4,4
agapan,6,6
agapay,6,6
agapayanan,10,10
agaran,6,6
agarin,6,6
agas,4,4
agas-as,6,7
agasas,6,6
agata,5,5
agatat,6,6
agaw-aw,6,7
agaw-buhay,9,10
agaw-dilim,9,10
agaw-tulog,9,10
agawan,6,6
agawin,6,6
agay-ay,6,7
agham,5,5
aghimo,6,6
aghimuan,8,8
aghimuin,8,8
agihap,6,6
agik-ik,6,7
agikik,6,6
agila,5,5
agimat,6,6
agimatan,8,8
aginaldo,8,8
aginalduhan,11,11
aging-ing,8,9
aginging,8,8
agit-it,6,7
agitit,6,6
agiw,4,4
aglahi,6,6
aglahiin,8,8
agnas,5,5
agnasin,7,7
agnos,5,5
agnostika,9,9
agnostiko,9,9
agong,5,5
agos,4,4
Agosto,6,6
agoy,4,4
agpang,6,6
agpangan,8,8
agrabyado,9,9
agrabyaduhin,12,12
agrarya,7,7
agraryo,7,7
agrasyada-do,11,12
agrerian,8,8
agresibo,8,8
agridulse,9,9
agrikultor,10,10
agrikultura,11,11
agrikultural,12,12
agrimensor,10,10
agtas,5,5
agting,6,6
aguha,5,5
aguhilya,8,8
aguho,5,5
aguhon,6,6
agunias,7,7
agunyas,7,7
agusan,6,6
agwa,4,4
agwa-bendita,11,12
agwa-plorida,11,12
agwado,6,6
agwador,7,7
agwahe,6,6
agwanta,7,7
agwantahin,10,10
agwaras,7,7
agwardiyente,12,12
agwardyente,11,11
agwas,5,5
agwasa,6,6
agwat,5,5
agwatan,7,7
agwatyempo,10,10
ahas,4,4
ahasin,6,6
ahedres,7,7
ahensiya,8,8
ahensiya-de-empenyos,18,20
ahente,6,6
ahin,4,4
ahit,4,4
ahitan,6,6
ahitin,6,6
ahon,4,4
ahunan,6,6
ahunin,6,6
aising,6,6
akademika,9,9
akademiko,9,9
akademista,10,10
akademya,8,8
akala,5,5
akalain,7,7
akap,4,4
akapin,6,6
akasya,6,6
akauntant,9,9
akaunting,9,9
akawntant,9,9
akay,4,4
akayan,6,6
akayin,6,6
akbay,5,5
akbay-akbay,10,11
akbayan,7,7
akda,4,4
akibat,6,6
akin,4,4
akinin,6,6
akitin,6,6
akkorde,7,7
aklamasyon,10,10
aklas,5,5
aklasan,7,7
aklat,5,5
aklat-talaan,11,12
aklatan,7,7
aklimatado,10,10
akma,4,4
akmain,6,6
akme,4,4
akne,4,4
ako,3,3
akompanya,9,9
akompanyador,12,12
akompanyahan,12,12
akompanyamiento,15,15
akompanyante,12,12
akorde,6,6
akostiks,8,8
akrobat,7,7
akrobata,8,8
akrobatik,9,9
akrobatiko-ka,12,13
akropobya,9,9
aksaya,6,6
aksayahin,9,9
akselerador,11,11
aksesoriya,10,10
aksesorya,9,9
aksesoryo,9,9
aksidental,10,10
aksidente,9,9
aksis,5,5
aksiyon,7,7
aksiyonista,11,11
aksiyunan,9,9
aksiyunista,11,11
aksyon,6,6
aksyunan,8,8
akta,4,4
aktiba,6,6
aktiba-bo,8,9
aktibidad,9,9
aktibista,9,9
akting,6,6
Aktinyum,8,8
aktitud,7,7
akto,4,4
aktor,5,5
aktres,6,6
aktris,6,6
aktuhan,7,7
aktwal,6,6
akuin,5,5
akusado,7,7
akusasyon,9,9
akustika,8,8
akustiks,8,8
akwaryum,8,8
akwatik,7,7
akwatika,8,8
akwatiko,8,8
akwatiks,8,8
akyat,5,5
akyat-panaog,11,12
akyatan,7,7
akyatin,7,7
ala,3,3
alaala,6,6
alab,4,4
alabastro,9,9
alabok,6,6
alabwab,7,7
alaga,5,5
alagaan,7,7
alagad,6,6
alagain,7,7
alagang-alaga,12,13
alagata,7,7
alagatain,9,9
alagaw,6,6
alahas,6,6
alahero,7,7
alak,4,4
alak-alakan,10,11
alak-bigas,9,10
alakalakan,10,10
alakan,6,6
alakbat,7,7
alakbay,7,7
alakbayan,9,9
alakdan,7,7
alala,5,5
alalad,6,6
alalahanin,10,10
alalaon,7,7
alalawa,7,7
alalay,6,6
alalayan,8,8
alamaam,7,7
alamang,7,7
alamat,6,6
alambre,7,7
alambrera,9,9
alamid,6,6
alamin,6,6
alampay,7,7
alampayan,9,9
alan,4,4
alang-alang,10,11
alangaang,9,9
alangan,7,7
alanganin,9,9
alangas,7,7
alangilan,9,9
alap,4,4
alapaap,7,7
alapihan,8,8
alapot,6,6
alarakas,8,8
alarma,6,6
alarmado,8,8
alas,4,4
alasas,6,6
alasuas,7,7
alat,4,4
alat-alatan,10,11
alatan,6,6
alatiit,7,7
alatwat,7,7
alawihaw,8,8
alay,4,4
alay-ay,6,7
alayan,6,6
alba,4,4
albatita,8,8
albay,5,5
alboroto,8,8
albularyo,9,9
album,5,5
albumen,7,7
aldaba,6,6
aldabahan,9,9
aldabis,7,7
aldabisin,9,9
ale,3,3
alegasyon,9,9
alegato,7,7
alegoria,8,8
alegoriya,9,9
alegro,6,6
Aleman,6,6
Alemana,7,7
Alemania,8,8
Alemanya,8,8
alerdyi,7,7
alerdyik,8,8
alero,5,5
alerta,6,6
alerto,6,6
algodon,7,7
algopobya,9,9
alhebra,7,7
ali,3,3
alibadbad,9,9
alibadbaran,11,11
alibambang,10,10
alibangbang,11,11
alibay,6,6
alibugha,8,8
aligando,8,8
aligasin,8,8
alige,5,5
aligi,5,5
aligid,6,6
aligin,6,6
aligutgot,9,9
alik-ik,6,7
alikabok,8,8
alikabukin,10,10
aliktiya,8,8
aliktya,7,7
alila,5,5
alilain,7,7
alilang-kanin,12,13
alilgin,7,7
alilisan,8,8
alilisin,8,8
alimango,8,8
alimapapayaw,12,12
alimasag,8,8
alimbukay,9,9
alimbuyugin,11,11
alimis,6,6
alimpungat,10,10
alimpungatan,12,12
alimpuso,8,8
alimpuyo,8,8
alimulon,8,8
alimuom,7,7
alimura,7,7
alimurahin,10,10
alimuwang,9,9
alimwang,8,8
alin,4,4
alinagnag,9,9
alindog,7,7
alingaling,10,10
alingasaw,9,9
alingasngas,11,11
alingawngaw,11,11
alinlangan,10,10
alinman,7,7
alinsangan,10,10
alinsunuran,11,11
alinsunurin,11,11
alintana,8,8
alintanahin,11,11
alintuntunin,12,12
alinugnog,9,9
alip-ip,6,7
alipala,7,7
